,Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price
2036,Marquis,Jazan,Ford,Automatic,Other,Full,2009,4.6,274000,False,35500
2037,Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.6,120377,False,42000
2039,Hilux,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2019,2.7,32595,False,105000
2040,Yaris,Dammam,Toyota,Automatic,Saudi,Standard,2016,1.5,190000,False,26000
2041,Edge,Jubail,Ford,Automatic,Other,Semi Full,2010,3.5,187200,False,25000
2042,CX9,Riyadh,Mazda,Automatic,Saudi,Full,2020,2.5,21367,False,148500
2043,Pathfinder,Riyadh,Nissan,Automatic,Saudi,Standard,2007,3.5,111,False,30000
2044,Azkarra,Dammam,Geely,Automatic,Saudi,Full,2021,1.5,23000,False,75000
2045,Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2017,1.3,137200,False,32000
2046,Flex,Al-Ahsa,Ford,Automatic,Other,Standard,2016,3.5,183000,False,60000
2047,Hilux,Hail,Toyota,Automatic,Saudi,Semi Full,2016,2.7,162500,False,84000
2048,E,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2016,3.0,114000,False,106000
2055,Tahoe,Jubail,Chevrolet,Automatic,Saudi,Standard,2011,5.3,304000,False,50000
2057,Tucson,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2020,2.0,22000,False,80000
2058,Tahoe,Dammam,Chevrolet,Automatic,Saudi,Standard,2016,5.3,124000,False,120000
2059,Expedition,Aseer,Ford,Automatic,Saudi,Semi Full,2014,5.4,140000,False,36000
2060,Hilux,Makkah,Toyota,Automatic,Saudi,Semi Full,2016,2.7,211000,False,66000
2061,Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,128000,False,32000
2062,Veloster,Jeddah,Hyundai,Automatic,Saudi,Full,2013,2.0,149675,False,25000
2063,A4,Jeddah,Audi,Automatic,Gulf Arabic,Full,2009,1.8,223000,False,27000
2064,Prado,Dammam,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,92000,False,130000
2065,Yukon,Hail,GMC,Automatic,Saudi,Semi Full,2011,5.3,223,False,40000
2066,Camry,Dammam,Toyota,Automatic,Saudi,Full,2017,2.5,135000,False,73000
2068,Azera,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,3.0,107154,False,61000
2070,Charger,Abha,Dodge,Automatic,Saudi,Full,2013,5.7,216841,False,40000
2072,Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,79000,False,36000
2074,Accent,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,197990,False,30000
2075,XJ,Jeddah,Jaguar,Automatic,Saudi,Full,2016,3.0,38000,False,155000
2076,A3,Jeddah,Audi,Automatic,Saudi,Semi Full,2020,1.4,6000,False,105000
2078,Acadia,Riyadh,GMC,Automatic,Gulf Arabic,Full,2012,3.6,220000,False,40000
2079,Optima,Riyadh,Kia,Manual,Saudi,Standard,2015,2.4,104000,False,25000
2080,Avalon,Jeddah,Toyota,Automatic,Saudi,Semi Full,2016,3.5,86000,False,87000
2083,Land Cruiser Pickup,Riyadh,Toyota,Manual,Gulf Arabic,Full,2021,4.0,1519,False,175000
2085,Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,130000,False,32000
2086,Impala,Dammam,Chevrolet,Automatic,Saudi,Standard,2016,3.5,91000,False,55000
2087,Furniture,Dammam,Toyota,Automatic,Saudi,Semi Full,2020,4.0,55000,False,123000
2088,Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Semi Full,2012,4.0,327193,False,75000
2089,Sunny,Qassim,Nissan,Automatic,Gulf Arabic,Standard,2016,1.5,156103,False,23000
2090,Acadia,Riyadh,GMC,Automatic,Saudi,Semi Full,2016,3.6,106000,False,75000
2091,Sentra,Riyadh,Nissan,Automatic,Saudi,Semi Full,2018,1.6,78000,False,38000
2092,Accent,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,143021,False,30000
